2009.04.09 11:13:23  36.5587   31.5880       23.0      2.9  -.-  -.-   ANTALYA K÷RFEZI (AKDENIZ)
2009.04.09 10:42:52  37.3545   28.2363        7.1      2.5  -.-  -.-   YATAGAN (MUGLA)
2009.04.09 09:35:30  41.6008   25.6173        5.0      -.-  3.6  -.-   BULGARISTAN
2009.04.09 08:38:41  36.4728   36.9105        5.4      3.2  -.-  -.-   SURIYE
2009.04.09 05:51:07  37.9125   37.9338        5.0      3.0  -.-  -.-   S‹RG‹-DOGANSEHIR (MALATYA)
2009.04.09 05:32:28  37.3402   38.6537        6.3      2.7  -.-  -.-   BOZOVA (SANLIURFA)
2009.04.09 05:21:41  36.8653   27.2558        9.5      3.3  -.-  -.-   KOS ADASI (AKDENIZ)
2009.04.09 03:22:25  39.1387   29.0655        5.2      2.9  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.09 02:55:47  41.1658   33.5403        5.0      3.6  -.-  -.-   IHSANGAZI (KASTAMONU)
2009.04.09 02:55:13  38.8710   27.9675        7.0      3.0  -.-  -.-   AKHISAR (MANISA)
2009.04.09 02:50:20  37.7430   26.9120        5.6      3.2  -.-  -.-   SISAM ADASI (EGE DENIZI)
2009.04.09 02:35:00  39.3298   28.9680        4.0      2.8  -.-  -.-   DAGARDI-SIMAV (K‹TAHYA)
2009.04.08 23:35:55  36.9875   29.1502        8.0      3.0  -.-  -.-   «AMELI (DENIZLI)
2009.04.08 22:36:59  41.6573   25.4563        5.0      3.3  -.-  -.-   BULGARISTAN
2009.04.08 21:34:31  40.6218   33.0618        6.1      3.3  -.-  -.-   ORTA («ANKIRI)
2009.04.08 21:08:54  41.5318   25.0703        5.0      3.7  -.-  -.-   BULGARISTAN
2009.04.08 19:29:55  37.1603   36.2702        3.9      2.8  -.-  -.-   OSMANIYE
2009.04.08 19:25:30  39.2962   41.0028        5.0      2.8  -.-  -.-   KARLIOVA (BING÷L)
2009.04.08 16:08:37  37.4318   35.9128       18.0      2.7  -.-  -.-   KOZAN (ADANA)
2009.04.08 15:42:50  38.8263   25.8172        5.0      3.2  -.-  -.-   EGE DENIZI
2009.04.08 15:20:09  41.4002   35.9093        6.5      2.6  -.-  -.-   BOGAZKAYA-BAFRA (SAMSUN)
2009.04.08 14:12:42  38.6872   39.2593        7.5      2.7  -.-  -.-   HARPUT- (ELAZIG)
2009.04.08 11:51:51  37.4350   37.0798        8.1      2.9  -.-  -.-   NARLI-PAZARCIK (KAHRAMANMARAS)
2009.04.08 02:57:34  39.1057   34.5262        6.6      2.5  -.-  -.-   MUCUR (KIRSEHIR)
2009.04.08 02:53:36  38.9587   34.5812        6.1      2.8  -.-  -.-   HACIBEKTAS (NEVSEHIR)
2009.04.08 02:30:18  37.4328   35.8072       16.0      3.2  -.-  -.-   KOZAN (ADANA)
2009.04.08 02:17:52  37.8273   29.0965        6.4      2.8  -.-  -.-   DENIZLI
2009.04.08 02:08:59  36.3598   28.8122       21.2      2.7  -.-  -.-   AKDENIZ
2009.04.08 00:19:12  36.1178   27.0350       11.1      3.1  -.-  -.-   AKDENIZ
2009.04.08 00:15:54  40.3770   27.2270        3.1      2.6  -.-  -.-   KARABIGA-BIGA («ANAKKALE)
2009.04.07 23:21:38  38.3425   26.3995        6.6      3.0  -.-  -.-   ALA«ATI-«ESME (IZMIR)
2009.04.07 21:26:33  37.0180   26.5613        7.4      3.5  -.-  -.-   AKDENIZ
2009.04.07 21:00:58  40.9615   35.9215        3.7      3.4  -.-  -.-   LADIK (SAMSUN)
2009.04.07 19:31:45  38.8290   40.1188        5.3      2.8  -.-  -.-   BASYURT-KARAKO«AN (ELAZIG)
2009.04.07 19:03:17  40.3073   27.8385        8.0      2.8  -.-  -.-   EDINCIK-BANDIRMA (BALIKESIR)
2009.04.07 18:21:36  36.7165   26.3550        7.5      3.1  -.-  -.-   AKDENIZ
2009.04.07 14:11:22  41.0490   34.5430       11.3      2.8  -.-  -.-   HACIHAMZA-KARGI («ORUM)
2009.04.07 13:44:54  39.4302   28.1753       15.3      2.9  -.-  -.-   BIGADI« (BALIKESIR)
2009.04.07 13:03:32  39.1312   29.1155        3.5      3.2  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.07 09:49:18  37.5660   36.2190        8.4      2.7  -.-  -.-   ANDIRIN (KAHRAMANMARAS)
2009.04.07 09:00:15  37.9727   30.0647       16.4      2.7  -.-  -.-   BASMAK«I (AFYON)
2009.04.07 07:29:13  37.5792   35.9372       13.8      3.0  -.-  -.-   SUMBAS (OSMANIYE)
2009.04.07 04:05:27  37.8552   29.2237        5.0      3.0  -.-  -.-   HONAZ (DENIZLI)
2009.04.07 04:03:20  39.1355   29.0932        5.4      2.8  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.07 03:10:20  37.2845   30.5238       29.5      2.8  -.-  -.-   KIZILKAYA-BUCAK (BURDUR)
2009.04.07 01:31:10  39.1142   29.0262        7.8      2.8  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.07 01:26:11  39.0992   29.0078        5.3      2.8  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.07 01:01:05  39.2778   29.3303        6.4      2.7  -.-  -.-   HISARCIK (K‹TAHYA)
2009.04.06 23:02:22  39.2183   29.4038        8.3      2.8  -.-  -.-   ÷RENCIK-EMET (K‹TAHYA)
2009.04.06 20:24:08  40.1413   28.9522        4.6      3.4  -.-  -.-   «ALI-NIL‹FER (BURSA)
2009.04.06 17:47:42  39.1347   29.0828        5.3      3.0  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.06 14:23:46  37.8618   27.4085        5.3      3.0  -.-  -.-   ORTAKLAR-GERMENCIK (AYDIN)
2009.04.06 14:08:45  37.8615   29.0755        5.6      2.8  -.-  -.-   DENIZLI
2009.04.06 12:43:36  39.4490   28.1282       11.5      2.6  -.-  -.-   BIGADI« (BALIKESIR)
2009.04.06 12:15:19  37.9195   29.0207       13.1      3.0  -.-  -.-   AKK÷Y (DENIZLI)
2009.04.06 10:32:35  37.8140   30.1207        7.5      2.6  -.-  -.-   BASMAK«I (AFYON)
2009.04.06 10:11:33  37.3982   38.6263        5.0      3.0  -.-  -.-   BOZOVA (SANLIURFA)
2009.04.06 09:15:25  39.2957   25.9025        9.2      3.0  -.-  -.-   MIDILLI ADASI (EGE DENIZI)
2009.04.06 08:43:55  39.8538   41.8463        5.8      3.2  -.-  -.-   S÷YLEMEZ-K÷PR‹K÷Y (ERZURUM)
2009.04.06 08:18:45  38.9395   26.2963        5.0      2.9  -.-  -.-   EGE DENIZI
2009.04.06 07:55:12  38.2050   26.3722       29.8      2.8  -.-  -.-   «ESME A«IKLARI-IZMIR (EGE DENIZI)
2009.04.06 01:13:50  39.6082   39.6938       14.3      2.7  -.-  -.-   «AGLAYAN- (ERZINCAN)
2009.04.06 01:08:59  39.6408   26.4828        3.3      2.9  -.-  -.-   AYVACIK («ANAKKALE)
2009.04.05 19:05:12  39.1788   29.4735        4.8      2.9  -.-  -.-   ÷RENCIK-EMET (K‹TAHYA)
2009.04.05 16:41:06  40.7518   27.4397        7.1      2.7  -.-  -.-   G‹ZELK÷Y A«IKLARI-TEKIRDAG (MARMARA DENIZI)
2009.04.05 15:36:02  39.1193   27.6423       14.8      2.7  -.-  -.-   KIRKAGA« (MANISA)
2009.04.05 15:31:21  38.7680   38.0213        9.7      2.8  -.-  -.-   HEKIMHAN (MALATYA)
2009.04.05 13:12:08  38.9792   25.9865       10.0      3.2  -.-  -.-   EGE DENIZI
2009.04.05 13:02:24  39.6692   26.4775        3.9      2.9  -.-  -.-   AYVACIK («ANAKKALE)
2009.04.05 12:17:03  39.4457   28.1548        5.0      2.8  -.-  -.-   BIGADI« (BALIKESIR)
2009.04.05 12:00:29  37.1807   37.1448        8.5      2.9  -.-  -.-   BUR«-SAHINBEY (GAZIANTEP)
2009.04.05 11:34:56  40.3838   27.2078        8.3      2.8  -.-  -.-   KARABIGA-BIGA («ANAKKALE)
2009.04.05 10:24:04  37.1247   28.2025       19.7      2.6  -.-  -.-   YERKESIK- (MUGLA)
2009.04.05 10:01:00  37.7897   27.2473        8.8      2.7  -.-  -.-   KUSADASI K÷RFEZI (EGE DENIZI)
2009.04.05 09:59:53  39.6853   29.4365        9.2      3.0  -.-  -.-   TUN«BILEK-TUN«BILEK (K‹TAHYA)
2009.04.05 09:17:37  36.7292   26.6193       10.8      2.8  -.-  -.-   AKDENIZ
2009.04.05 07:53:46  40.4712   25.8165        5.0      2.8  -.-  -.-   SAROS K÷RFEZI (EGE DENIZI)
2009.04.05 01:51:05  39.9262   40.7768        5.0      3.4  -.-  -.-   KANDILLI-ASKALE (ERZURUM)
2009.04.05 01:28:44  37.4342   36.2407        5.0      3.0  -.-  -.-   KADIRLI (OSMANIYE)
2009.04.05 01:23:53  35.8558   29.8865        6.4      3.3  -.-  -.-   AKDENIZ
2009.04.04 17:43:04  39.0772   29.0228        6.6      2.7  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.04 16:00:17  39.1172   29.0848        5.5      2.9  -.-  -.-   SIMAV (K‹TAHYA)
2009.04.04 08:29:22  37.1673   44.9477        3.1      3.1  -.-  -.-   T‹RKIYE-IRAN SINIR B÷LGESI
2009.04.04 07:33:49  37.2583   38.5983        7.7      2.9  -.-  -.-   BOZOVA (SANLIURFA)
2009.04.04 04:21:03  37.0538   28.0235       14.0      2.8  -.-  -.-   ÷REN-MILAS (MUGLA)
2009.04.04 03:13:59  37.7730   30.1230        8.7      2.7  -.-  -.-   BURDUR
2009.04.04 02:58:07  39.0855   40.7898        2.0      2.7  -.-  -.-   G÷YN‹K-KARLIOVA (BING÷L)
2009.04.03 19:53:53  39.1973   29.4228       11.9      2.7  -.-  -.-   ÷RENCIK-EMET (K‹TAHYA)
2009.04.03 18:46:31  38.3028   39.2130        5.1      2.8  -.-  -.-   «‹NG‹S (DIYARBAKIR)
2009.04.03 18:07:10  40.1393   30.0223       13.4      2.6  -.-  -.-   BILECIK
2009.04.03 16:58:05  37.7960   29.1148        5.4      3.2  -.-  -.-   DENIZLI
2009.04.03 13:59:48  39.3720   27.4150        5.4      2.7  -.-  -.-   KORUCU-IVRINDI (BALIKESIR)
2009.04.03 13:15:08  39.3905   28.1387        7.9      2.7  -.-  -.-   BIGADI« (BALIKESIR)
2009.04.03 12:31:21  36.9557   28.3122        9.2      2.7  -.-  -.-   G÷KOVA K÷RFEZI (AKDENIZ)
2009.04.03 11:19:32  37.3005   44.5373        5.0      -.-  2.8  -.-   SEMDINLI (HAKKARI)
